id,start_count,end_count,combined_count,name,lat,long
OK-F2-2,1098,1055,2153,Market St at 45th St,37.834174,-122.272968
OK-F3,1125,1037,2162,West St at 40th St,37.8302232,-122.2709501
OK-F4,11300,11277,22577,MacArthur BART,37.8285951,-122.2663493
OK-F5,2430,2355,4785,Broadway at 40th St,37.827933669,-122.256654859
OK-F5-1,224,202,426,Webster St at 40th St,37.828783035,-122.260746241
OK-F6,4670,4593,9263,40th St at Piedmont Ave,37.825785004382006,-122.25346968515623
OK-G2,1399,1399,2798,Market St at 40th St,37.8305452,-122.2739367
OK-G3,934,938,1872,37th St at West St,37.82669558640968,-122.27179706096648
OK-G4,1066,959,2025,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002
OK-G5,1470,1500,2970,Mosswood Park,37.82489252995112,-122.26043654610294
OK-G6,1061,1065,2126,Piedmont Ave at MacArthur Blvd,37.823143222649385,-122.2569505732544
OK-H15,77,88,165,Fruitvale Ave at MacArthur Blvd,37.80062512497625,-122.2161109214726
OK-H16,15,12,27,MacArthur Blvd at Hopkins Pl,37.798524022,-122.2080791
OK-H2,1490,1495,2985,32nd St at Adeline St,37.8238474,-122.2811926
OK-H2-2,228,261,489,Brockhurst St at San Pablo Ave,37.82352279021405,-122.27718830108644
OK-H3-2,944,965,1909,West St at Brockhurst St,37.82268385945021,-122.27292420364392
OK-H4-3,904,765,1669,34th St at Telegraph Ave,37.82246767714513,-122.26597130298616
OK-H5,4106,3957,8063,Broadway at 30th St,37.8193814,-122.2619284
OK-H9-1,3307,3598,6905,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152
OK-H9-2,1830,1906,3736,Lakeshore Ave at Trestle Glen Rd,37.811160088,-122.243251562
OK-I3,559,521,1080,27th St at San Pablo Ave,37.8178861054494,-122.27595852149544
OK-I4,406,380,786,MLK Jr Way at 27th St,37.817350256930574,-122.27147850614034
OK-I5,2397,2341,4738,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278
OK-I6,5881,5925,11806,Bay Pl at Vernon St,37.81225021872637,-122.2607185732995
OK-I6-2,1154,1126,2280,26th St at Broadway,37.81482406413866,-122.26424569694971
OK-I8,5087,5163,10250,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932
OK-I9,5324,5738,11062,El Embarcadero at Grand Ave,37.808715,-122.2492512
OK-J3,870,867,1737,24th St at Market St,37.8160598,-122.2782444
OK-J4,363,346,709,Isabella St at San Pablo Ave,37.81498823042416,-122.2748440504074
OK-J5,2827,2975,5802,23rd St at Telegraph Ave,37.81258108581741,-122.2685730457306
OK-J6-1,4884,4991,9875,Grand Ave at Webster St,37.8113768,-122.2651925
OK-J6-2,1955,1962,3917,Snow Park,37.80781318217903,-122.26449608802795
OK-J9,969,981,1950,Brooklyn Ave at Lakeshore Ave,37.80513288481057,-122.2503679309362
OK-K1,2188,2311,4499,Raimondi Park,37.81493053721438,-122.292953407218
OK-K1-2,1893,2030,3923,Mandela Parkway at W Grand Ave,37.815638065,-122.289438963
OK-K10,2486,2298,4784,21st St at 5th Ave,37.800459411713945,-122.24745869636536
OK-K11,216,191,407,11th Ave at 19th St,37.79456581381641,-122.24442771710704
OK-K14,17,13,30,E 21st St at 23rd Ave,37.78856066343691,-122.2315811650537
OK-K17,87,71,158,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
OK-K2,1152,1148,2300,DeFremery Park,37.8123315,-122.2851712
OK-K3,1134,1104,2238,Marston Campbell Park,37.8098236,-122.2801923
OK-K4,673,600,1273,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217
OK-K5-1,3414,3390,6804,Telegraph Ave at 19th St,37.8087021,-122.2699271
OK-K5-2,7791,7486,15277,19th Street BART,37.80936861213485,-122.26795077323914
OK-K6,2205,2191,4396,Webster St at 19th St,37.80696976095594,-122.26658821105956
OK-K7,2919,2852,5771,Madison St at 17th St,37.8040367840236,-122.26240932941435
OK-K9,3740,4027,7767,2nd Ave at E 18th St,37.8002135669698,-122.25381016731262
OK-K9-2,30,29,59,E 18th St at 4th Ave,37.79920674125079,-122.25129128429244
OK-L0,692,686,1378,Willow Park,37.81236254956572,-122.29609629373002
OK-L1,1210,1076,2286,14th St at Mandela Pkwy,37.8107432,-122.2914153
OK-L10,389,370,759,6th Ave at E 12th St,37.794396,-122.253842
OK-L11,433,456,889,10th Ave at E 15th St,37.7927143,-122.2487796
OK-L12,279,283,562,San Antonio Park,37.79013985185364,-122.24237322807312
OK-L14,355,368,723,23rd Ave at Foothill Blvd,37.7851915,-122.2343822
OK-L16,180,171,351,Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033
OK-L19,153,136,289,Bond St at High St,37.77415256430236,-122.21239820122716
OK-L3,563,617,1180,14th St at Filbert St,37.80874983465997,-122.28328227996823
OK-L4,1623,1692,3315,Jefferson St at 14th St,37.805207,-122.275156
OK-L5,4914,4898,9812,Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816
OK-L6,2240,2186,4426,Franklin St at 13th St,37.80303013575619,-122.27049618959428
OK-L6-2,1632,1592,3224,13th St at Webster St,37.802688402040665,-122.26914636790752
OK-L7,827,790,1617,Jackson St at 11th St,37.80000163118878,-122.26643800735472
OK-L7-2,3135,3064,6199,Lakeside Dr at 14th St,37.8013189,-122.2626418
OK-L8,1551,1454,3005,10th St at Fallon St,37.797610044,-122.263033509
OK-L8-2,230,204,434,Lakeshore Ave,37.79889596098421,-122.25869433497589
OK-L9,1408,1216,2624,4th Ave at E 12th St,37.795913,-122.255547
OK-M14,110,115,225,26th Ave at International Blvd,37.781123,-122.2329915
OK-M16,146,118,264,Farnam St at Fruitvale Ave,37.778058,-122.2254
OK-M3,841,781,1622,10th St at Chestnut St,37.8063553,-122.2860187
OK-M5,2116,2262,4378,Washington St at 8th St,37.8007544,-122.2748943
OK-M6,2525,2554,5079,Franklin St at 9th St,37.8005161,-122.2720799
OK-M7,5938,5340,11278,Lake Merritt BART,37.7973195,-122.2653199
OK-N1,8092,7834,15926,West Oakland BART,37.8051895,-122.29461686454056
OK-N10,1242,1314,2556,Brooklyn Basin,37.78744096071392,-122.25555462691868
OK-N17,543,519,1062,Fruitvale BART,37.7752321,-122.2244982
OK-N5,2106,2206,4312,Jack London Square,37.796248,-122.279352
OK-N6,3125,3372,6497,Webster St at 2nd St,37.795194764385954,-122.27396965026855
OK-N7,873,901,1774,Second St at Oak St,37.79283145949592,-122.26827767083098
SJ-F10,1,0,1,Kerley Dr at Rosemary St,37.36085415525383,-121.90683424472807
SJ-H16-2,0,1,1,Berryessa BART,37.367203965330354,-121.87391658002636
SJ-Q5,0,1,1,Bird Ave at Willow St,37.31128394611736,-121.89632534980774
